n1,n2,lpt,mx
1.384632206,1.591841623,1.769388984,no
1.879323923,2.34762592,2.395149577,no
2.438717483,2.802912454,2.03975141,no
2.226503909,2.913153498,2.730451463,no
2.286275342,2.992930527,2.302696239,no
2.682797476,1.968665434,2.606463979,no
2.114925458,2.149683645,2.002806646,no
2.146205492,2.6015626,2.088306166,no
2.295294644,2.288091813,2.572633159,no
3.144000873,1.909716703,2.663346351,no
2.029985266,3.165801559,2.135937511,no
1.746214629,2.068009887,2.561765454,no
2.107986039,1.405259543,2.265304995,no
2.000707973,2.645862734,2.812486235,no
2.71575757,1.937926331,1.764921427,no
2.905270849,2.842900922,1.903121953,no
1.689434331,2.455667111,1.947146334,no
2.011252821,3.067430299,1.915849304,no
2.623601164,1.576202917,1.403463155,no
2.263501565,2.414913153,2.90304243,no
2.351181483,2.636866251,2.753066793,no
2.502590404,2.700874403,1.699656962,no
2.396275816,2.515262421,2.834894648,no
2.663606295,2.024277924,1.961745839,no
1.925497416,2.135631219,2.690763413,no
2.586181389,2.501348932,2.604816412,no
1.708435016,2.865865889,2.504863614,no
3.109852085,2.342875153,1.618868698,no
2.411390708,2.467918534,2.574414445,no
1.76744713,2.481951465,2.731275418,no
2.189372218,2.407535519,2.509207563,no
2.563503783,2.479852784,2.209516722,no
2.850643184,2.231477581,2.857718805,no
2.243847609,3.190087228,2.155620075,no
2.124337931,2.140122257,2.524113807,no
2.088221286,2.542580649,2.620631492,no
2.479418674,3.004004585,2.292811951,no
1.909714984,2.806487419,2.538826777,no
2.514368929,1.741544321,1.937772404,no
2.952587403,2.62005185,2.191112212,no
3.368153848,2.394772424,2.164783477,no
2.806604895,3.016233425,1.901410938,no
2.466752828,1.926565721,2.676140665,no
2.60698373,2.024544007,2.151941433,no
2.491680085,2.604094437,2.245692548,no
1.514320125,1.766482163,2.012645309,no
2.512385038,2.277827292,1.763821419,no
2.081321686,2.073745559,1.362114753,no
2.033313354,2.69055769,2.184488114,no
2.165728535,2.24560388,2.686481309,no
2.110201528,2.576477965,2.65357492,no
1.912814421,2.483344372,1.78132314,no
2.094295328,1.96164856,1.915924618,no
2.082726634,2.173002294,2.036833788,no
2.468504365,1.980609722,1.858650082,no
1.866174587,2.890526444,1.495781956,no
2.49927982,2.07356679,2.811307412,no
2.455816435,2.675371652,2.538999031,no
2.997300605,1.917953023,3.071030508,no
2.382371877,2.455052689,2.360388285,no
2.178624687,2.454680338,1.155534502,no
3.57535443,1.839662804,2.153228129,no
1.842190886,2.602744261,2.664132603,no
2.04166015,2.215010592,1.823361831,no
2.129553294,2.548604138,2.272094064,no
1.966347946,2.375096819,2.392998593,no
1.736373122,2.294507973,2.709218501,no
2.983493287,2.555775603,3.018754088,no
2.967140543,1.916885677,2.408446085,no
1.459780397,1.856705977,2.864399207,no
2.398907387,1.71547691,2.446564229,no
2.360439728,1.956046217,2.452048374,no
2.537790089,2.870597861,1.930954073,no
2.576077206,2.806332628,2.515837123,no
2.539086957,1.843146413,2.246710432,no
2.293936327,2.208801954,1.833205515,no
2.513949757,2.892452044,2.895242736,no
1.848748404,2.692041108,2.450066587,no
2.93385746,2.901197811,2.452544191,no
1.891126205,2.870185139,2.123024772,no
2.288509358,2.678312277,2.101676028,no
2.666148143,2.634672936,2.522948575,no
2.456720405,2.669045596,2.327520505,no
2.36285494,1.887836461,2.602532504,no
1.842611382,2.192957442,1.781810193,no
2.413727101,2.020586116,2.306150121,no
2.149867876,2.554047631,1.213158119,no
2.009576446,2.133816214,2.54850779,no
3.091918386,2.187511142,2.595453497,no
2.56611734,2.765806256,2.297294544,no
3.211518641,2.650643578,2.31271161,no
3.406064335,2.777049904,2.093630959,no
2.308161253,2.910053822,2.569732665,no
2.732414181,2.488704609,2.283622693,no
2.203329995,1.872003342,2.46028844,no
2.486897913,2.276281681,2.869700715,no
2.145861845,2.560901045,2.196533698,no
1.714035448,1.878444619,2.227905782,no
2.034508731,2.095531965,2.148002496,no
2.668173308,2.158051594,1.875126278,no
2.920073644,2.77417299,1.499350754,no
2.453643563,2.308798273,2.390197294,no
2.980804583,2.351410405,1.861373946,no
2.213357841,2.678157463,2.028304569,no
2.384889613,2.053548532,2.215281869,no
2.537133954,2.558377672,1.766430554,no
2.67784015,2.109174418,2.390765792,no
2.413978954,2.154370536,1.330370569,no
2.557557737,2.745680038,2.287536564,no
2.168335615,1.719241179,2.294266884,no
1.880728414,2.336366654,1.783654726,no
2.752022173,2.267521285,2.102900152,no
2.50499651,2.515806535,2.650278405,no
2.237324346,3.099291504,2.354733646,no
1.974287978,2.15229645,2.662258584,no
2.396385819,2.262515704,2.454616842,no
2.3529302,2.126478816,2.083127294,no
3.280182691,1.317341764,2.412085568,no
2.07136251,2.401760835,1.446701345,no
2.112611775,2.507898723,2.438394199,no
2.080832718,1.970288623,1.948602194,no
2.087454253,1.884888795,2.158979456,no
1.625490426,2.312265529,2.363116983,no
2.458602371,2.019688899,2.03819437,no
2.008063397,2.069209027,2.299128794,no
2.094394596,2.522852161,1.763545148,no
1.629790855,2.58728654,2.207066836,no
1.879514362,1.905131283,1.781004688,no
2.098126194,2.816455937,2.385711035,no
2.40958851,2.036518393,2.232403736,no
2.306730198,1.460205363,2.617015745,no
2.74355873,1.733454614,1.859955034,no
2.852649381,2.530108097,2.724142037,no
2.845476517,2.535177805,1.899860914,no
1.854669825,2.257872781,2.353209804,no
2.561906956,1.907795287,2.294855947,no
2.245458907,2.215328855,1.351013838,no
2.624850498,2.04582402,2.434196818,no
2.507021828,1.593276279,2.314689043,no
2.296291598,2.87233251,2.558400174,no
2.49094651,2.682157109,1.777622085,no
2.109307296,2.768753261,2.570669605,no
2.1193223,2.511088349,2.033916191,no
1.932241961,2.57703346,2.027039888,no
2.216535753,2.349411366,1.987756655,no
2.478855731,1.815607039,2.209542474,no
1.797387001,1.648101148,2.685983923,no
2.298884169,1.885659688,1.752152905,no
2.491168697,2.522969282,2.49856016,no
1.747205544,2.23913037,2.088958878,no
2.216507967,2.624941977,2.333998429,no
2.289488776,2.372400812,2.058553921,no
2.407942832,2.058237947,2.4815558,no
1.910160356,2.099261742,2.633804974,no
2.064233025,1.682664503,2.27168063,no
2.162215707,1.784900674,2.265396994,no
1.942197129,2.225220733,2.17560091,no
2.901206585,2.43029503,2.691175994,no
2.687040035,2.113787486,2.683471092,no
2.189080715,2.269355439,1.767708209,no
3.200892639,2.643027084,2.188261702,no
1.965397789,2.597592743,2.549257741,no
2.110083541,3.004954486,2.159600023,no
2.733557274,2.749486409,1.527055635,no
2.322520479,2.333732214,1.974607674,no
2.360540085,2.358611559,2.387921492,no
2.29300752,2.688156514,2.418819231,no
2.825059611,1.786019539,2.508401426,no
2.074391092,2.355625927,2.286510295,no
2.15584927,1.924441896,1.765191942,no
2.429413292,2.201629705,2.534591355,no
2.361325875,2.762202388,2.151048085,no
2.732788956,2.76641045,2.534796269,no
2.859498923,2.739319352,1.871166642,no
2.404336987,2.450688458,2.702908869,no
2.028566068,2.568451109,2.048868187,no
2.063959892,2.077530551,2.339765377,no
2.251449908,1.754769649,2.888810399,no
2.690027594,2.823456963,3.055846302,no
2.329823246,2.229138766,1.917339495,no
2.399281528,1.968856465,2.158011139,no
2.784094906,2.746518032,2.448082012,no
2.5006757,2.171390331,2.464755924,no
2.579970893,2.380205671,2.448987108,no
2.358357136,2.297181614,1.919919901,no
2.036739858,2.529921817,1.966811114,no
2.545265366,2.134355032,2.714148484,no
2.113993725,1.666571579,3.46017016,no
2.063129347,1.69737773,2.698952068,no
2.509696374,1.752792609,2.127795201,no
2.433329353,1.47848281,1.343530795,no
3.180109736,2.335912223,2.350401042,no
3.177361223,2.716536812,2.028713981,no
1.881541636,2.26720253,2.103267083,no
3.008392377,1.956945803,1.722799238,no
2.185294268,2.413636368,1.954873314,no
2.807250884,2.095912521,1.920765023,no
2.94968566,2.231549769,1.335157994,no
2.768285864,2.445718221,2.120507353,no
2.167356666,2.151814023,3.286384374,no
2.152081882,3.314315151,2.391093648,no
2.132250208,2.139844787,2.4194671,no
2.359326555,3.124419383,2.361414951,no
2.379531297,1.641180561,2.351288054,no
1.689036235,2.635419414,3.266391278,no
1.849703072,2.695514412,1.922339941,no
2.626341209,3.558119207,2.394875893,no
2.036298473,2.263163095,2.167905079,no
1.075469849,1.875985111,1.860547442,no
1.751158129,2.638262582,2.141876949,no
1.854593632,2.183200591,1.014175024,no
3.095442861,2.396779201,2.517671622,no
2.351148615,1.886736558,1.971779121,no
2.315355681,2.321308458,2.230665996,no
2.233472237,2.150658304,2.230881183,no
2.035841497,1.679490871,1.816310168,no
2.939552793,1.761358569,1.914804794,no
1.905142811,2.487221996,1.704783122,no
2.168817899,2.494322888,2.453902667,no
2.630674305,3.015439726,2.051429289,no
2.71326102,2.457418122,2.915382154,no
2.76640845,1.986895527,2.122002453,no
2.953974039,1.374065345,2.869110529,no
2.462717347,2.421226048,1.693334017,no
2.12057053,1.997904417,2.351123498,no
2.900642187,2.208520095,1.861838012,no
1.018140888,2.087022314,2.1978639,no
2.281256571,2.098150199,2.547576782,no
1.622627689,1.868711062,2.366339303,no
2.447749068,2.631168143,2.790663037,no
2.625967161,2.795128516,2.20439081,no
2.380500294,2.566753515,2.542926044,no
2.93016274,2.638965497,2.32537491,no
1.768131474,1.605629955,1.702089473,no
2.464016481,2.781416049,2.520171608,no
2.281531642,2.278832235,2.289689408,no
2.223506137,1.976242917,2.593240238,no
2.66545189,2.480240426,2.114283402,no
1.802216651,2.331587682,1.862788543,no
1.977520795,2.74410292,2.067880225,no
3.059340506,2.433947699,1.556473316,no
2.316490428,1.650240125,2.106219853,no
1.507636218,2.387484543,2.504524003,no
2.829914691,1.904834589,1.762513063,no
2.219194671,2.042178769,1.929339137,no
2.902796411,2.220991314,1.687909609,no
2.683722122,2.244731748,2.69488354,no
2.898498119,2.679029331,2.422482032,no
3.100245031,1.947873438,1.997433938,no
1.97343699,2.641421616,1.892425979,no
2.230137757,1.886580177,2.672433323,no
1.90455544,2.425730565,2.399206396,no
1.630130248,1.905106731,2.144447027,no
2.528770067,2.70893933,2.202223818,no
2.515496038,2.835074827,2.465567925,no
1.658071802,1.55768261,3.304509741,no
2.39174129,1.545952332,1.930541118,no
2.765563534,2.28808448,2.578687662,no
2.007055362,2.25462354,2.641757093,no
3.047667611,2.97119001,2.600608169,no
2.769248127,1.810564177,2.252484511,no
2.363415472,2.22020129,2.461801025,no
2.226491984,2.080782098,2.179448248,no
1.428211239,1.889764825,2.067757012,no
2.098756915,2.934009444,2.007375139,no
2.778087203,2.400686228,2.699810362,no
2.650597639,2.864690274,2.746957906,no
3.201809092,2.105785457,1.648476739,no
3.573051459,2.090154261,2.85079094,no
2.706364185,2.372285363,2.157086967,no
2.109678106,2.686331457,2.388193029,no
2.444047673,2.260715854,2.666138066,no
2.827784354,1.934551546,2.415581748,no
1.712304908,2.356311002,1.848824043,no
3.160706791,2.007773748,1.738898499,no
1.785984515,1.913256175,1.851108806,no
2.253390829,2.011626204,2.547231833,no
2.305195751,1.203651484,1.427577589,no
3.021373037,1.66651013,2.483918913,no
2.198540513,2.595908933,3.013199046,no
1.491213214,2.208944153,2.658879366,no
3.060554334,2.302309934,2.260174516,no
2.263172464,2.063647353,2.95867347,no
1.721793253,2.773039649,2.102097572,no
2.418353132,1.507225494,2.138940492,no
2.121983401,2.27026284,2.515315782,no
2.263117889,1.330030223,2.56252416,no
2.134837407,2.726870451,2.713039167,no
2.45474144,2.42969284,1.990470584,no
1.753111527,1.708289572,1.750364094,no
1.946253485,2.229984682,2.538540181,no
2.146169653,2.092395399,3.306533877,no
2.609679645,2.079650044,2.472381881,no
2.46537979,2.993136764,1.887600347,no
2.243787737,2.553419274,2.12517462,no
1.379525806,2.141306803,1.682737416,no
2.741587175,1.158109928,1.843228583,no
2.028176356,1.876345893,1.475375073,no
1.956620178,2.287335531,2.433487302,no
1.919350053,2.158947681,1.856737527,no
3.073407345,2.818784262,2.449242851,no
2.945303974,2.380517964,3.294822793,no
2.299579277,2.100262314,2.72067013,no
2.497720463,1.705102362,1.726713268,no
2.194618925,2.488702399,2.508740089,no
1.520053939,1.495972369,2.334261822,no
2.036888893,2.038207493,2.485769026,no
2.073159072,2.234224934,1.835393626,no
2.284201233,2.257925206,1.821098408,no
2.435307364,2.00267822,3.271076058,no
2.268552039,2.654292208,1.63437151,no
2.832097589,2.594917101,2.034809646,no
2.004262511,3.130523708,2.129612231,no
1.829225448,2.394370441,2.603859063,no
2.117822246,2.499494924,2.174826802,no
1.848381218,2.821533108,1.784976052,no
2.107867079,1.811624922,2.4537676,no
2.456423144,2.382607899,2.182942837,no
1.994897585,2.335604736,2.729402658,no
2.156819116,1.92240832,1.433556929,no
1.97946673,2.624233028,2.020169369,no
1.524600469,2.385676978,1.823834774,no
2.949373384,2.006443539,2.017488646,no
1.962812367,2.000938493,2.863533525,no
2.477722435,2.299792208,1.955827338,no
2.202380569,2.776228203,3.439281227,no
2.983903579,2.632175078,2.247214733,no
2.327068807,2.390993444,2.931826149,no
2.781142328,2.057771186,2.833736162,no
3.133432097,2.090419586,2.450544036,no
2.730973557,2.924691283,1.927045324,no
2.078333321,2.107139186,2.257142877,no
2.467923937,1.377983122,2.179683547,no
3.170148681,1.782899724,2.278448364,no
1.884655737,2.376866927,2.126594894,no
1.980147881,2.593574827,1.942072258,no
2.667777453,2.093752941,2.711084352,no
2.375474142,2.25614222,2.59827428,no
1.977414161,2.361709911,2.08670195,no
2.635289629,2.44762863,1.716816303,no
2.467920812,2.831727237,2.233033827,no
1.504348101,2.09957074,2.026053324,no
2.234120939,1.347309014,2.100524674,no
2.395691066,3.044392854,2.262375868,no
1.669778795,1.865095964,1.869795412,no
2.200756511,2.84228093,2.932335001,no
2.739297984,2.569305938,2.391240921,no
2.271707163,2.624120518,2.885719936,no
2.676924107,2.353874214,1.927110159,no
2.633923596,1.837256009,2.413431866,no
2.971761247,2.647161932,1.816979121,no
2.422780166,2.308271967,2.943110781,no
2.235248574,2.163167885,2.030125792,no
2.2439216,2.689864515,2.425174495,no
1.835986628,2.517820926,2.581726536,no
2.901537856,2.359273203,2.194464293,no
1.657112488,1.847535969,1.961626782,no
2.10211647,2.521400368,1.975877802,no
1.579033972,2.225040754,2.124716482,no
1.947252042,2.656760178,2.154361538,no
2.533331947,1.714239328,2.661940075,no
1.659723622,2.439699392,1.857671563,no
2.285681982,2.63919416,2.217291391,no
1.766595955,2.381818744,1.846533298,no
1.770719266,1.848155325,2.270139132,no
2.621632883,1.774891073,2.067625176,no
2.682848965,1.679267166,2.46657522,no
2.660823168,2.640496946,2.171294127,no
2.548774097,2.622794846,1.8139847,no
2.655182755,2.72206309,2.310228356,no
3.310459929,2.235380403,1.744860119,no
2.038469825,2.006291839,3.059712448,no
1.737720489,2.773812079,1.721075178,no
2.379996041,2.908174654,2.173704702,no
2.91271786,2.38501009,2.764445655,no
2.714802843,2.279699431,2.318982153,no
3.148140166,2.52780831,1.861540046,no
3.116326952,1.927301175,1.496162381,no
2.496400605,2.647221829,2.139123003,no
2.210561915,2.648076904,1.36743532,no
2.533934077,2.086945572,2.68746905,no
2.294527974,2.185797023,2.198614763,no
1.667216587,2.307742866,2.828409255,no
2.660725417,2.054624549,2.451161885,no
2.407748766,1.87133534,2.105379029,no
2.391800875,2.770297987,1.417734606,no
2.66644409,1.860378776,2.102906201,no
2.856787027,2.26598342,1.964910217,no
2.33688789,2.168177504,2.335854423,no
2.534945645,1.48892671,2.208744496,no
1.768201317,2.208565798,2.478774383,no
2.092398389,2.039420313,2.23517723,no
1.995760297,2.633188507,2.380627833,no
1.827753015,1.353176493,1.784811987,no
1.563389863,2.562260012,1.997743344,no
2.226741185,2.624383838,2.506808013,no
2.197126511,1.933733239,2.485353092,no
1.304604278,2.163519882,2.37964459,no
2.182024164,2.865370838,2.82167618,no
2.352002206,2.086791674,2.194016459,no
1.567978009,2.145564009,1.597072831,no
2.059458481,2.721995674,2.753308123,no
3.006256986,1.890620673,2.388336907,no
2.701758069,1.496703364,2.393111014,no
1.79228267,2.356789109,2.319731565,no
2.20914558,2.160770446,2.186571789,no
3.16507168,2.864815487,1.88806501,no
2.702660955,1.577722171,2.298264746,no
2.37275755,1.614463463,2.008439722,no
2.717495853,1.626097323,1.81928727,no
2.718187924,2.822920672,3.076830455,no
1.605127868,2.946868648,1.48658247,no
2.731576372,1.636577515,2.642283674,no
2.499396073,1.500272629,2.399101888,no
2.401387812,1.932462185,2.217994181,no
2.767106088,2.318524745,2.791172003,no
2.066465784,1.556299172,2.16545928,no
2.156658834,2.162469172,2.226846911,no
2.634686225,3.024433255,1.597051568,no
2.472360967,2.126093855,2.752359174,no
1.481901072,2.52140596,3.277618514,no
2.879232677,1.762211401,2.706848751,no
2.265839,2.764656757,1.761162107,no
1.875277803,2.130068607,2.542212338,no
2.060213687,2.349502361,2.657233421,no
1.956232674,1.347698445,2.31876138,no
2.725314062,2.65719732,2.360741619,no
2.444977988,2.098681436,1.756318341,no
2.538100283,3.062485292,2.533417142,no
1.958063479,1.751987695,2.119540515,no
2.235224425,2.320351458,2.490235961,no
2.616651427,1.865457501,2.038284886,no
2.505282453,2.288058603,2.472948566,no
2.10289222,2.427246885,1.77871503,no
2.410434669,1.435467434,2.556747318,no
1.911677641,1.837573644,2.546768891,no
2.313268077,1.037675258,2.481638714,no
2.863736991,2.972474028,2.525253534,no
2.280940085,2.85809771,2.156074815,no
1.553977945,2.33511883,2.199336803,no
2.813073052,2.551803182,2.562916232,no
2.172033764,2.895978578,2.329184583,no
1.887710729,2.713493239,2.920469686,no
2.416848498,2.858547234,1.948983025,no
3.026064152,2.117742327,1.801868692,no
2.766734014,2.335476245,2.203093321,no
1.867941263,2.467733262,2.150662853,no
1.830865199,2.369679856,2.033933077,no
2.362367767,1.622444805,2.822187563,no
2.963274852,3.240997491,1.872869951,no
2.08612076,3.407019687,1.689740993,no
2.667398917,2.354765831,1.940728755,no
1.834393742,2.785145547,1.756717028,no
2.273402985,1.44159201,2.187312216,no
2.222205879,1.700295826,2.898148496,no
2.030759278,2.335054417,2.150029696,no
2.079418922,2.483727961,2.055608904,no
1.497036997,2.246758487,2.151809043,no
2.682041776,2.314945917,2.490388481,no
2.480932342,2.022672353,3.55743402,no
1.970456972,2.823219405,1.897797643,no
1.824438775,2.697231993,2.382252702,no
2.320332233,2.643572665,1.747499847,no
2.053124754,2.045249175,2.867802341,no
3.13581524,2.88216387,2.216580293,no
1.962961284,2.107518262,2.229357908,no
2.652776869,2.382624322,1.94128248,no
2.698873278,2.236151873,1.672173444,no
2.758578419,2.630682101,1.338860713,no
2.209731674,2.520358249,2.429454744,no
2.611688381,2.432141524,2.54932184,no
2.397382376,3.414717293,2.133373757,no
2.264426305,2.518810812,2.729835866,no
2.685165248,2.207235812,2.388875495,no
2.623680812,2.2263356,3.166731786,no
1.908594545,2.436966919,2.435690938,no
2.000919111,2.397699368,2.399447747,no
2.57362035,2.748656064,3.060170246,no
3.061842485,1.90145936,2.077460151,no
2.023212468,2.189161281,2.492829573,no
2.505443549,2.23346856,2.386963565,no
2.748516025,1.399059224,2.558356492,no
2.145221945,2.647434765,1.533082092,no
2.800982363,2.13259072,1.51542908,no
2.825445483,2.126032747,2.61688216,no
2.287345643,2.103510234,2.489900041,no
2.486421252,2.538292319,2.174678418,no
2.798784862,2.285371973,2.165081724,no
2.430346017,2.224630731,2.311585774,no
